term_id,compact_name,label,comment,domain,range,sub_property_of,type,is_link_type,term_status,version,last_modified
gs1:isDecaffeinated,isDecaffeinated,Is Decaffeinated,The descriptive term that is used by the product manufacturer to identify whether or not the product contains caffeine.,gs1:Beverage,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isFromConcentrate,isFromConcentrate,Is From Concentrate,Used to identify whether or not the product claims to be made from a concentrated formulation.,gs1:Beverage,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isHomogenised,isHomogenised,Is Homogenised,A The indication whether or not the milk used was actively homogenised. The homogenisation of milk is a technical process in the dairy. The milk fat is milled to such an extent that further creaming is prevented.,gs1:MilkButterCreamYogurtCheeseEggsSubstitutes,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isInstant,isInstant,Is Instant,Determines whether the product is instant.,gs1:FoodBeverageTobaccoProduct,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isMaternity,isMaternity,Is Maternity,"Indicates, with reference to the product branding, labelling or packaging, the descriptive term that is used by the product manufacturer to identify if the product is intended as maternity wear.",gs1:Clothing,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:isOnlyAvailableThroughRetailer,isOnlyAvailableThroughRetailer,Only Available Through Retailer,"If specified and set to true, the discount is only available through the retailer making the offer.",gs1:Discount,xsd:boolean,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:isOnlyWithMailingListSignup,isOnlyWithMailingListSignup,Only For Retailer Mailing List Members,"If specified and set to true, the discount is only available for customers who have signed up to the retailer's mailing list.",gs1:Discount,xsd:boolean,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isOnlyWithPaymentCard,isOnlyWithPaymentCard,Only With Payment Card,"If specified, the discount is only available when purchasing using one of the specified payment card types.",gs1:Discount,gs1:PaymentMethod,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:isOnlyWithRetailerLoyaltyCard,isOnlyWithRetailerLoyaltyCard,Only For Retailer Loyalty Cardholders,"If specified and set to true, the discount is only available for holders of the retailer's own loyalty card.",gs1:Discount,xsd:boolean,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:isOnlyWithRetailerPaymentCard,isOnlyWithRetailerPaymentCard,Only For Retailer Payment Cardholders,"If specified and set to true, the discount is only available for holders of the retailer's own store payment card.",gs1:Discount,xsd:boolean,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isPatterned,isPatterned,Is Patterned,The descriptive term that is used by the product manufacturer to identify whether or not the product has a patterned design.,gs1:WearableProduct,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isPittedStoned,isPittedStoned,Is Pitted Stoned,The descriptive term that is used by the product manufacturer to identify whether or not a fruit or vegetable product has been de-stoned or pitted prior to being offered for sale.,gs1:FruitsVegetables,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isProductRecalled,isProductRecalled,Is Product Recalled,An indicator for the product to determine if the Manufacturer or Supplier has recalled the product.,gs1:Product,xsd:boolean,,owl:FunctionalProperty; rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:isPromoterExclusiveOffer,isPromoterExclusiveOffer,Is Promoter Exclusive Offer,Determines whether the offer is only provided by the promoter,gs1:Discount,xsd:boolean,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isRindEdible,isRindEdible,Is Rind Edible,An indicator whether or not the cheese rind is edible. Some cheeses are coated in plastic or their surface is treated with other traditional substances to increase their shelf life. This can result in the rind no longer being edible.,gs1:MilkButterCreamYogurtCheeseEggsSubstitutes,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:isSeedless,isSeedless,Is Seedless,Determines whether the product is seedless as grown.,gs1:FruitsVegetables,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isShelledPeeled,isShelledPeeled,Is Shelled or Peeled,The descriptive term that is used by the product manufacturer to identify whether or not the product or its contents have been shelled/peeled prior to being offered for sale.,gs1:FruitsVegetables,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:isSliced,isSliced,Is Sliced,Determines whether the product comes pre-sliced.,gs1:FoodBeverageTobaccoProduct,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isThermal,isThermal,Is Thermal,The descriptive term that is used to identify whether the product is thermal.,gs1:WearableProduct,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:isVintage,isVintage,Is Vintage,Identifies whether the product makes claim to being vintage.,gs1:Beverage,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isWashedReadyToEat,isWashedReadyToEat,Is Washed Ready To Eat,Determines whether product has been prewashed and is ready to eat.,gs1:FruitsVegetables,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:isWaterproof,isWaterproof,Is Waterproof,The descriptive term that is used to identify whether or not the product claims to provide waterproofing to the applied surface.,gs1:WearableProduct,gs1:NonbinaryLogicCode,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:isWearableItemDisposable,isWearableItemDisposable,Is Wearable Item Disposable,Identifies whether or not the product is intended to be disposed of after single use or a limited period of use.,gs1:WearableProduct,gs1:NonbinaryLogicCode,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:itemOffered,itemOffered,Item Offered,The product included in the offer.,gs1:Offer,gs1:Product,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:juiceContentPercent,juiceContentPercent,Juice Content Percent,The fruit juice content of the product expressed as a percentage.,gs1:FoodBeverageTobaccoProduct,xsd:float,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:jws,jws,JSON Web Signature,A link to a JSON Web Signature,schema:Product; gs1:Product,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:latitude,latitude,Latitude,Angular distance North or South from the earth's equator measured through 90 degrees.,gs1:GeoCoordinates,xsd:string,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:leasedFrom,leasedFrom,Leased from,Links to the organisation (lessor) from which this place is leased.,gs1:Place,gs1:Organization,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:leasedTo,leasedTo,Leased to,"Links to the organisation(s) (lessee(s)) to which this place is leased. Property SHOULD be applied to a specific sub-location, rather than a main location, wherever possible.",gs1:Place,gs1:Organization,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:leaveReview,leaveReview,Leave a review,A link through which a review can be added.,owl:Thing,xsd:anyURI,gs1:linkType,rdf:Property; owl:ObjectProperty,true,stable,1.17,2025-11-18
gs1:lesseeOf,lesseeOf,Lessee of location,"Links to the place(s) for which this organisation is the lessee (i.e., this organisation leases those places from another organisation, the lessor).",gs1:Organization,gs1:Place,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:lessorFor,lessorFor,Lessor for,"Links to the place(s) for which this organisation is the lessor (i.e., this organisation leases those places to others).",gs1:Organization,gs1:Place,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:line,line,Line,"A line is a point-to-point path consisting of two or more point objects separated by a space. A single line segment (i.e., straight line) is expressed as two points. A multi-line path (i.e., open polygon) is expressed as a series of three or more points. For a closed shape, gs1:polygon SHALL be used.",gs1:GeoShape,xsd:string,,owl:DatatypeProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:linkType,linkType,Link Type,Provides a URL for related information or services. This is not expected to be used directly but provides a super property for all other link types in the GS1 ecosystem.,owl:Thing,xsd:anyURI,,rdf:Property; owl:ObjectProperty,false,stable,1.17,2025-11-18
gs1:location,location,Has Location,The place(s) associated with an organization.,gs1:Organization,gs1:Place,,owl:ObjectProperty; rdf:Property,false,stable,1.17,2025-11-18
gs1:locationDescription,locationDescription,Location Description,The description of a place.,gs1:Place,rdf:langString,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
gs1:locationFinalClosureDate,locationFinalClosureDate,Location Final Closure Date,"Date in which a location was finally closed. Note that this is NOT the date when a GLN was deactivated. To designate when location opened, see gs1:locationOpeningDate.",gs1:Place,xsd:date,,rdf:Property; owl:DatatypeProperty,false,stable,1.17,2025-11-18
